object_id,slope,profile_curvature,planar_curvature,lithology,twi,rainfall,ndvi,distance_to_river,distance_to_fault,slope_unit,slope_structure,hazard_label,rainfall_slope_interaction,saturation_potential,fault_vulnerability,stream_power_index_approx,disturbance_index,hydro_stress
1971032,7,4,6,3,3,6.0,5,3,2,71,4,0,42,18,1.0,21,7,1.935483870967741
743472,4,6,5,2,1,2.0,6,3,2,96,4,0,8,2,0.6666666666666666,4,7,1.818181818181818
2813608,2,5,6,3,4,7.0,9,2,1,29,4,0,14,28,1.5,8,9,1.707317073170732
1509791,7,6,5,2,3,4.0,8,3,1,5,4,0,28,12,1.0,21,8,1.2903225806451613
624080,6,7,5,2,2,2.0,9,2,2,94,4,0,12,4,0.6666666666666666,12,8,0.9523809523809524
845990,3,5,6,4,3,3.0,8,1,1,93,4,0,9,9,2.0,9,10,0.9677419354838708
3585373,4,3,6,3,2,7.0,7,1,2,25,4,0,28,14,1.0,8,9,3.333333333333333
1971538,3,6,6,3,3,7.0,8,2,1,71,4,0,21,21,1.5,9,9,2.258064516129032
1482280,5,7,5,2,4,2.0,9,5,3,3,4,0,10,8,0.5,20,4,0.4878048780487805
1196816,7,6,5,2,6,2.0,4,4,1,86,4,0,14,12,1.0,42,7,0.3278688524590164
537970,4,5,6,2,1,3.0,7,4,3,96,4,0,12,3,0.5,4,5,2.727272727272727
29901,3,5,5,1,5,1.0,7,2,5,107,1,0,3,5,0.1666666666666666,15,5,0.196078431372549
1413298,3,5,6,1,3,2.0,6,3,2,1,4,0,6,6,0.3333333333333333,9,7,0.6451612903225806
2515507,4,7,5,3,7,5.0,4,3,2,11,4,0,20,35,1.0,28,7,0.7042253521126761
1422328,4,6,5,2,3,4.0,8,3,1,85,5,0,16,12,1.0,12,8,1.2903225806451613
1557949,5,7,3,2,1,4.0,8,2,1,81,4,0,20,4,1.0,5,9,3.636363636363636
3361067,2,6,5,3,1,5.0,9,1,1,23,4,0,10,5,1.5,2,10,4.545454545454545
